2023-06-26T20:43Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$NonfairSync (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$Sync (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/log4j/status/StatusLogger$BoundedQueue (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/log4j/simple/SimpleLogger (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/log4j/Level (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/lang/CloneNotSupportedException (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/log4j/spi/StandardLevel (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/log4j/util/Strings (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - java/util/RegularEnumSet$EnumSetIterator (BootstrapClassLoader)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/log4j/util/ProviderUtil (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/log4j/spi/Provider (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/slf4j/SLF4JProvider (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
2023-06-26T20:43Z FINE main | checking instrumentability for - org/apache/logging/slf4j/SLF4JLoggerContextFactory (org.springframework.boot.loader.LaunchedURLClassLoader_3b81a1bc)
